tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner
2006--germany,Group C,2006-06-21,Côte d'Ivoire,Serbia and Montenegro,3,2,"Allianz Arena, München",Côte d'Ivoire
2006--germany,Group D,2006-06-11,Mexico,Iran,3,1,"Frankenstadion, Nürnberg",Mexico
2006--germany,Group D,2006-06-11,Angola,Portugal,0,1,"RheinEnergieStadion, Köln",Portugal
2006--germany,Group D,2006-06-16,Mexico,Angola,0,0,"AWD-Arena, Hannover",Draw
2006--germany,Group D,2006-06-17,Portugal,Iran,2,0,"Commerzbank-Arena, Frankfurt",Portugal
2006--germany,Group D,2006-06-21,Portugal,Mexico,2,1,"Veltins-Arena, Gelsenkirchen",Portugal
2006--germany,Group D,2006-06-21,Iran,Angola,1,1,"Zentralstadion, Leipzig",Draw
2006--germany,Group E,2006-06-12,Italy,Ghana,2,0,"AWD-Arena, Hannover",Italy
2006--germany,Group E,2006-06-12,USA,Czech Republic,0,3,"Veltins-Arena, Gelsenkirchen",Czech Republic
2006--germany,Group E,2006-06-17,Italy,USA,1,1,"Fritz-Walter-Stadion, Kaiserslautern",Draw
2006--germany,Group E,2006-06-17,Czech Republic,Ghana,0,2,"RheinEnergieStadion, Köln",Ghana
2006--germany,Group E,2006-06-22,Czech Republic,Italy,0,2,"AOL Arena, Hamburg",Italy
2006--germany,Group E,2006-06-22,Ghana,USA,2,1,"Frankenstadion, Nürnberg",Ghana
2006--germany,Group F,2006-06-13,Brazil,Croatia,1,0,"Olympiastadion, Berlin",Brazil
2006--germany,Group F,2006-06-12,Australia,Japan,3,1,"Fritz-Walter-Stadion, Kaiserslautern",Australia
2006--germany,Group F,2006-06-18,Brazil,Australia,2,0,"Allianz Arena, München",Brazil
2006--germany,Group F,2006-06-18,Japan,Croatia,0,0,"Frankenstadion, Nürnberg",Draw
2006--germany,Group F,2006-06-22,Japan,Brazil,1,4,"Signal Iduna Park, Dortmund",Brazil
2006--germany,Group F,2006-06-22,Croatia,Australia,2,2,"Gottlieb-Daimler-Stadion, Stuttgart",Draw
2006--germany,Group G,2006-06-13,France,Switzerland,0,0,"Gottlieb-Daimler-Stadion, Stuttgart",Draw
2006--germany,Group G,2006-06-13,South Korea,Togo,2,1,"Commerzbank-Arena, Frankfurt",South Korea
2006--germany,Group G,2006-06-18,France,South Korea,1,1,"Zentralstadion, Leipzig",Draw
2006--germany,Group G,2006-06-19,Togo,Switzerland,0,2,"Signal Iduna Park, Dortmund",Switzerland
2006--germany,Group G,2006-06-23,Togo,France,0,2,"RheinEnergieStadion, Köln",France
2006--germany,Group G,2006-06-23,Switzerland,South Korea,2,0,"AWD-Arena, Hannover",Switzerland
2006--germany,Group H,2006-06-14,Spain,Ukraine,4,0,"Zentralstadion, Leipzig",Spain
2006--germany,Group H,2006-06-14,Tunisia,Saudi Arabia,2,2,"Allianz Arena, München",Draw
2006--germany,Group H,2006-06-19,Spain,Tunisia,3,1,"Gottlieb-Daimler-Stadion, Stuttgart",Spain
2006--germany,Group H,2006-06-19,Saudi Arabia,Ukraine,0,4,"AOL Arena, Hamburg",Ukraine
2006--germany,Group H,2006-06-23,Saudi Arabia,Spain,0,1,"Fritz-Walter-Stadion, Kaiserslautern",Spain
2006--germany,Group H,2006-06-23,Ukraine,Tunisia,1,0,"Olympiastadion, Berlin",Ukraine
2006--germany,Round of 16,2006-06-24,Germany,Sweden,2,0,"Allianz Arena, München",Germany
2006--germany,Round of 16,2006-06-24,Argentina,Mexico,2,1,"Zentralstadion, Leipzig",Argentina
2006--germany,Round of 16,2006-06-25,England,Ecuador,1,0,"Gottlieb-Daimler-Stadion, Stuttgart",England
2006--germany,Round of 16,2006-06-25,Portugal,Netherlands,1,0,"Frankenstadion, Nürnberg",Portugal
2006--germany,Round of 16,2006-06-26,Italy,Australia,1,0,"Fritz-Walter-Stadion, Kaiserslautern",Italy
2006--germany,Round of 16,2006-06-26,Switzerland,Ukraine,0,3,"RheinEnergieStadion, Köln",Ukraine
2006--germany,Round of 16,2006-06-27,Brazil,Ghana,3,0,"Signal Iduna Park, Dortmund",Brazil
2006--germany,Round of 16,2006-06-27,Spain,France,1,3,"AWD-Arena, Hannover",France
2006--germany,Round of 16,2006-06-30,Germany,Argentina,4,2,"Olympiastadion, Berlin",Germany
2006--germany,Round of 16,2006-06-30,Italy,Ukraine,3,0,"AOL Arena, Hamburg",Italy
2006--germany,Round of 16,2006-07-01,England,Portugal,1,3,"Veltins-Arena, Gelsenkirchen",Portugal
2006--germany,Round of 16,2006-07-01,Brazil,France,0,1,"Commerzbank-Arena, Frankfurt",France
2006--germany,Round of 16,2006-07-04,Germany,Italy,0,2,"Signal Iduna Park, Dortmund",Italy
2006--germany,Round of 16,2006-07-05,Portugal,France,0,1,"Allianz Arena, München",France
2006--germany,Third-place play-off,2006-07-08,Germany,Portugal,3,1,"Gottlieb-Daimler-Stadion, Stuttgart",Germany
2006--germany,Final,2006-07-09,Italy,France,5,3,"Olympiastadion, Berlin",Italy
