tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner
2006--germany,Group A,2006-06-09,Germany,Costa Rica,4,2,"Allianz Arena, München",Germany
2006--germany,Group A,2006-06-09,Poland,Ecuador,0,2,"Veltins-Arena, Gelsenkirchen",Ecuador
2006--germany,Group A,2006-06-14,Germany,Poland,1,0,"Signal Iduna Park, Dortmund",Germany
2006--germany,Group A,2006-06-15,Ecuador,Costa Rica,3,0,"AOL Arena, Hamburg",Ecuador
2006--germany,Group A,2006-06-20,Ecuador,Germany,0,3,"Olympiastadion, Berlin",Germany
2006--germany,Group A,2006-06-20,Costa Rica,Poland,1,2,"AWD-Arena, Hannover",Poland
2006--germany,Group B,2006-06-10,England,Paraguay,1,0,"Commerzbank-Arena, Frankfurt",England
2006--germany,Group B,2006-06-10,Trinidad and Tobago,Sweden,0,0,"Signal Iduna Park, Dortmund",Draw
2006--germany,Group B,2006-06-15,England,Trinidad and Tobago,2,0,"Frankenstadion, Nürnberg",England
2006--germany,Group B,2006-06-15,Sweden,Paraguay,1,0,"Olympiastadion, Berlin",Sweden
2006--germany,Group B,2006-06-20,Sweden,England,2,2,"RheinEnergieStadion, Köln",Draw
2006--germany,Group B,2006-06-20,Paraguay,Trinidad and Tobago,2,0,"Fritz-Walter-Stadion, Kaiserslautern",Paraguay
2006--germany,Group C,2006-06-10,Argentina,Côte d'Ivoire,2,1,"AOL Arena, Hamburg",Argentina
2006--germany,Group C,2006-06-11,Serbia and Montenegro,Netherlands,0,1,"Zentralstadion, Leipzig",Netherlands
2006--germany,Group C,2006-06-16,Argentina,Serbia and Montenegro,6,0,"Veltins-Arena, Gelsenkirchen",Argentina
2006--germany,Group C,2006-06-16,Netherlands,Côte d'Ivoire,2,1,"Gottlieb-Daimler-Stadion, Stuttgart",Netherlands
2006--germany,Group C,2006-06-21,Netherlands,Argentina,0,0,"Commerzbank-Arena, Frankfurt",Draw
