tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner
2018--russia,Group A,2018-06-14,18:00      Russia,Saudi Arabia,5,0,"Luzhniki Stadium, Moscow (UTC+3)",18:00      Russia
2018--russia,Group A,2018-06-15,17:00      Egypt,Uruguay,0,1,"Ekaterinburg Arena, Ekaterinburg (UTC+5)",Uruguay
2018--russia,Group A,2018-06-19,21:00      Russia,Egypt,3,1,"Saint Petersburg Stadium, Saint Petersburg (UTC+3)",21:00      Russia
2018--russia,Group A,2018-06-20,18:00      Uruguay,Saudi Arabia,1,0,"Rostov Arena, Rostov-on-Don (UTC+3)",18:00      Uruguay
2018--russia,Group A,2018-06-25,18:00      Uruguay,Russia,3,0,"Samara Arena, Samara (UTC+4)",18:00      Uruguay
2018--russia,Group A,2018-06-25,17:00      Saudi Arabia,Egypt,2,1,"Volgograd Arena, Volgograd (UTC+3)",17:00      Saudi Arabia
2018--russia,Group B,2018-06-15,18:00     Morocco,Iran,0,1,"Saint Petersburg Stadium, Saint Petersburg (UTC+3)",Iran
2018--russia,Group B,2018-06-15,21:00     Portugal,Spain,3,3,"Fisht Stadium, Sochi (UTC+3)",Draw
2018--russia,Group B,2018-06-20,15:00     Portugal,Morocco,1,0,"Luzhniki Stadium, Moscow (UTC+3)",15:00     Portugal
2018--russia,Group B,2018-06-20,21:00     Iran,Spain,0,1,"Kazan Arena, Kazan (UTC+3)",Spain
2018--russia,Group B,2018-06-25,21:00     Iran,Portugal,1,1,"Mordovia Arena, Saransk (UTC+3)",Draw
2018--russia,Group B,2018-06-25,20:00     Spain,Morocco,2,2,"Kaliningrad Stadium, Kaliningrad (UTC+2)",Draw
2018--russia,Group C,2018-06-16,13:00     France,Australia,2,1,"Kazan Arena, Kazan (UTC+3)",13:00     France
2018--russia,Group C,2018-06-16,19:00     Peru,Denmark,0,1,"Mordovia Arena, Saransk (UTC+3)",Denmark
2018--russia,Group C,2018-06-21,16:00     Denmark,Australia,1,1,"Samara Arena, Samara (UTC+4)",Draw
2018--russia,Group C,2018-06-21,20:00     France,Peru,1,0,"Ekaterinburg Arena, Ekaterinburg (UTC+5)",20:00     France
2018--russia,Group C,2018-06-26,17:00     Denmark,France,0,0,"Luzhniki Stadium, Moscow (UTC+3)",Draw
2018--russia,Group C,2018-06-26,17:00     Australia,Peru,0,2,"Fisht Stadium, Sochi (UTC+3)",Peru
2018--russia,Group D,2018-06-16,16:00      Argentina,Iceland,1,1,"Spartak Stadium, Moscow (UTC+3)",Draw
2018--russia,Group D,2018-06-16,21:00      Croatia,Nigeria,2,0,"Kaliningrad Stadium, Kaliningrad (UTC+2)",21:00      Croatia
2018--russia,Group D,2018-06-21,21:00      Argentina,Croatia,0,3,"Nizhny Novgorod Stadium, Nizhny Novgorod (UTC+3)",Croatia
2018--russia,Group D,2018-06-22,18:00      Nigeria,Iceland,2,0,"Volgograd Arena, Volgograd (UTC+3)",18:00      Nigeria
2018--russia,Group D,2018-06-26,21:00      Nigeria,Argentina,1,2,"Saint Petersburg Stadium, Saint Petersburg (UTC+3)",Argentina
2018--russia,Group D,2018-06-26,21:00      Iceland,Croatia,1,2,"Rostov Arena, Rostov-on-Don (UTC+3)",Croatia
2018--russia,Group E,2018-06-17,16:00       Costa Rica,Serbia,0,1,"Samara Arena, Samara (UTC+4)",Serbia
2018--russia,Group E,2018-06-17,21:00       Brazil,Switzerland,1,1,"Rostov Arena, Rostov-on-Don (UTC+3)",Draw
2018--russia,Group E,2018-06-22,15:00       Brazil,Costa Rica,2,0,"Saint Petersburg Stadium, Saint Petersburg (UTC+3)",15:00       Brazil
2018--russia,Group E,2018-06-22,20:00       Serbia,Switzerland,1,2,"Kaliningrad Stadium, Kaliningrad (UTC+2)",Switzerland
2018--russia,Group E,2018-06-27,21:00       Serbia,Brazil,0,2,"Spartak Stadium, Moscow (UTC+3)",Brazil
2018--russia,Group E,2018-06-27,21:00       Switzerland,Costa Rica,2,2,"Nizhny Novgorod Stadium, Nizhny Novgorod (UTC+3)",Draw
2018--russia,Group F,2018-06-17,18:00        Germany,Mexico,0,1,"Luzhniki Stadium, Moscow (UTC+3)",Mexico
2018--russia,Group F,2018-06-18,15:00        Sweden,South Korea,1,0,"Nizhny Novgorod Stadium, Nizhny Novgorod (UTC+3)",15:00        Sweden
2018--russia,Group F,2018-06-23,18:00        South Korea,Mexico,1,2,"Rostov Arena, Rostov-on-Don (UTC+3)",Mexico
2018--russia,Group F,2018-06-23,21:00        Germany,Sweden,2,1,"Fisht Stadium, Sochi (UTC+3)",21:00        Germany
2018--russia,Group F,2018-06-27,17:00        South Korea,Germany,2,0,"Kazan Arena, Kazan (UTC+3)",17:00        South Korea
2018--russia,Group F,2018-06-27,19:00        Mexico,Sweden,0,3,"Ekaterinburg Arena, Ekaterinburg (UTC+5)",Sweden
