tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner
2018--russia,Group G,2018-06-18,18:00          Belgium,Panama,3,0,"Fisht Stadium, Sochi (UTC+3)",18:00          Belgium
2018--russia,Group G,2018-06-18,21:00          Tunisia,England,1,2,"Volgograd Arena, Volgograd (UTC+3)",England
2018--russia,Group G,2018-06-23,15:00          Belgium,Tunisia,5,2,"Spartak Stadium, Moscow (UTC+3)",15:00          Belgium
2018--russia,Group G,2018-06-24,15:00          England,Panama,6,1,"Nizhny Novgorod Stadium, Nizhny Novgorod (UTC+3)",15:00          England
2018--russia,Group G,2018-06-28,20:00          England,Belgium,0,1,"Kaliningrad Stadium, Kaliningrad (UTC+2)",Belgium
2018--russia,Group G,2018-06-28,21:00          Panama,Tunisia,1,2,"Mordovia Arena, Saransk (UTC+3)",Tunisia
2018--russia,Group H,2018-06-19,15:00          Colombia,Japan,1,2,"Mordovia Arena, Saransk (UTC+3)",Japan
2018--russia,Group H,2018-06-19,18:00          Poland,Senegal,1,2,"Spartak Stadium, Moscow (UTC+3)",Senegal
2018--russia,Group H,2018-06-24,20:00          Japan,Senegal,2,2,"Ekaterinburg Arena, Ekaterinburg (UTC+5)",Draw
2018--russia,Group H,2018-06-24,21:00          Poland,Colombia,0,3,"Kazan Arena, Kazan (UTC+3)",Colombia
2018--russia,Group H,2018-06-28,17:00          Japan,Poland,0,1,"Volgograd Arena, Volgograd (UTC+3)",Poland
2018--russia,Group H,2018-06-28,18:00          Senegal,Colombia,0,1,"Samara Arena, Samara (UTC+4)",Colombia
2018--russia,Round of 16,2018-06-30,21:00        Uruguay,Portugal,2,1,"Fisht Stadium, Sochi (UTC+3)",21:00        Uruguay
2018--russia,Round of 16,2018-06-30,17:00        France,Argentina,4,3,"Kazan Arena, Kazan (UTC+3)",17:00        France
2018--russia,Round of 16,2018-07-01,17:00        Spain,Russia,3,4,"Luzhniki Stadium, Moscow (UTC+3)",Russia
2018--russia,Round of 16,2018-07-01,21:00        Croatia,Denmark,3,2,"Nizhny Novgorod Stadium, Nizhny Novgorod (UTC+3)",21:00        Croatia
2018--russia,Round of 16,2018-07-02,18:00        Brazil,Mexico,2,0,"Samara Arena, Samara (UTC+4)",18:00        Brazil
2018--russia,Round of 16,2018-07-02,21:00        Belgium,Japan,3,2,"Rostov Arena, Rostov-on-Don (UTC+3)",21:00        Belgium
2018--russia,Round of 16,2018-07-03,17:00        Sweden,Switzerland,1,0,"Saint Petersburg Stadium, Saint Petersburg (UTC+3)",17:00        Sweden
2018--russia,Round of 16,2018-07-03,21:00        Colombia,England,3,4,"Spartak Stadium, Moscow (UTC+3)",England
2018--russia,Quarter-finals,2018-07-06,17:00        Uruguay,France,0,2,"Nizhny Novgorod Stadium, Nizhny Novgorod (UTC+3)",France
2018--russia,Quarter-finals,2018-07-06,21:00        Brazil,Belgium,1,2,"Kazan Arena, Kazan (UTC+3)",Belgium
2018--russia,Quarter-finals,2018-07-07,21:00        Russia,Croatia,3,4,"Fisht Stadium, Sochi (UTC+3)",Croatia
2018--russia,Quarter-finals,2018-07-07,18:00        Sweden,England,0,2,"Samara Arena, Samara (UTC+4)",England
2018--russia,Semi-finals,2018-07-10,21:00       France,Belgium,1,0,"Saint Petersburg Stadium, St. Petersburg (UTC+3)",21:00       France
2018--russia,Semi-finals,2018-07-11,21:00        Croatia,England,2,1,"Luzhniki Stadium, Moscow (UTC+3)",21:00        Croatia
2018--russia,Semi-finals,2018-07-14,17:00        Belgium,England,2,0,"Saint Petersburg Stadium, St. Petersburg (UTC+3)",17:00        Belgium
2018--russia,Final,2018-07-15,18:00       France,Croatia,4,2,"Luzhniki Stadium, Moscow (UTC+3)",18:00       France
