tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner
2010--south-africa,Group A,2010-06-11,16:00    South Africa,Mexico,1,1,"Soccer City, Johannesburg",Draw
2010--south-africa,Group A,2010-06-11,20:30    Uruguay,France,0,0,"Cape Town Stadium, Cape Town",Draw
2010--south-africa,Group A,2010-06-16,20:30    South Africa,Uruguay,0,3,"Loftus Versfeld Stadium, Pretoria",Uruguay
2010--south-africa,Group A,2010-06-17,20:30    France,Mexico,0,2,"Peter Mokaba Stadium, Polokwane",Mexico
2010--south-africa,Group A,2010-06-22,16:00    Mexico,Uruguay,0,1,"Royal Bafokeng Stadium, Rustenburg",Uruguay
2010--south-africa,Group A,2010-06-22,16:00    France,South Africa,1,2,"Free State Stadium, Bloemfontein",South Africa
2010--south-africa,Group B,2010-06-12,13:30    South Korea,Greece,2,0,"Nelson Mandela Bay Stadium, Port Elizabeth",13:30    South Korea
2010--south-africa,Group B,2010-06-12,16:00    Argentina,Nigeria,1,0,"Ellis Park Stadium, Johannesburg",16:00    Argentina
2010--south-africa,Group B,2010-06-17,13:30    Argentina,South Korea,4,1,"Soccer City, Johannesburg",13:30    Argentina
2010--south-africa,Group B,2010-06-17,16:00    Greece,Nigeria,2,1,"Free State Stadium, Bloemfontein",16:00    Greece
2010--south-africa,Group B,2010-06-22,20:30    Nigeria,South Korea,2,2,"Moses Mabhida Stadium, Durban",Draw
2010--south-africa,Group B,2010-06-22,20:30    Greece,Argentina,0,2,"Peter Mokaba Stadium, Polokwane",Argentina
2010--south-africa,Group C,2010-06-12,20:30    England,USA,1,1,"Royal Bafokeng Stadium, Rustenburg",Draw
2010--south-africa,Group C,2010-06-13,13:30    Algeria,Slovenia,0,1,"Peter Mokaba Stadium, Polokwane",Slovenia
2010--south-africa,Group C,2010-06-18,16:00    Slovenia,USA,2,2,"Ellis Park Stadium, Johannesburg",Draw
2010--south-africa,Group C,2010-06-18,20:30    England,Algeria,0,0,"Cape Town Stadium, Cape Town",Draw
