tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner
1998--france,Group A,1998-06-10,Brazil,Scotland,2,1,"Stade de France, Saint-Denis",Brazil
1998--france,Group A,1998-06-10,Morocco,Norway,2,2,"Stade de la Mosson, Montpellier",Draw
1998--france,Group A,1998-06-16,Scotland,Norway,1,1,"Parc Lescure, Bordeaux",Draw
1998--france,Group A,1998-06-16,Brazil,Morocco,3,0,"Stade de la Beaujoire, Nantes",Brazil
1998--france,Group A,1998-06-23,Scotland,Morocco,0,3,"Stade Geoffroy-Guichard, Saint-Étienne",Morocco
1998--france,Group A,1998-06-23,Brazil,Norway,1,2,"Stade Vélodrome, Marseille",Norway
1998--france,Group B,1998-06-11,Cameroon,Austria,1,1,"Stade de Toulouse, Toulouse",Draw
1998--france,Group B,1998-06-11,Italy,Chile,2,2,"Parc Lescure, Bordeaux",Draw
1998--france,Group B,1998-06-17,Chile,Austria,1,1,"Stade Geoffroy-Guichard, Saint-Étienne",Draw
1998--france,Group B,1998-06-17,Italy,Cameroon,3,0,"Stade de la Mosson, Montpellier",Italy
1998--france,Group B,1998-06-23,Italy,Austria,2,1,"Stade de France, Saint-Denis",Italy
1998--france,Group B,1998-06-23,Chile,Cameroon,1,1,"Stade de la Beaujoire, Nantes",Draw
1998--france,Group C,1998-06-12,Saudi Arabia,Denmark,0,1,"Stade Félix Bollaert, Lens",Denmark
1998--france,Group C,1998-06-12,France,South Africa,3,0,"Stade Vélodrome, Marseille",France
1998--france,Group C,1998-06-18,France,Saudi Arabia,4,0,"Stade de France, Saint-Denis",France
1998--france,Group C,1998-06-18,South Africa,Denmark,1,1,"Stade de Toulouse, Toulouse",Draw
1998--france,Group C,1998-06-24,France,Denmark,2,1,"Stade Gerland, Lyon",France
1998--france,Group C,1998-06-24,South Africa,Saudi Arabia,2,2,"Parc Lescure, Bordeaux",Draw
1998--france,Group D,1998-06-12,Paraguay,Bulgaria,0,0,"Stade de la Mosson, Montpellier",Draw
1998--france,Group D,1998-06-13,Spain,Nigeria,2,3,"Stade de la Beaujoire, Nantes",Nigeria
1998--france,Group D,1998-06-19,Nigeria,Bulgaria,1,0,"Parc des Princes, Paris",Nigeria
1998--france,Group D,1998-06-19,Spain,Paraguay,0,0,"Stade Geoffroy-Guichard, Saint-Étienne",Draw
1998--france,Group D,1998-06-24,Spain,Bulgaria,6,1,"Stade Félix Bollaert, Lens",Spain
1998--france,Group D,1998-06-24,Nigeria,Paraguay,1,3,"Stade de Toulouse, Toulouse",Paraguay
1998--france,Group E,1998-06-13,Netherlands,Belgium,0,0,"Stade de France, Saint-Denis",Draw
1998--france,Group E,1998-06-13,South Korea,Mexico,1,3,"Stade Gerland, Lyon",Mexico
1998--france,Group E,1998-06-20,Netherlands,South Korea,5,0,"Stade Vélodrome, Marseille",Netherlands
1998--france,Group E,1998-06-20,Belgium,Mexico,2,2,"Parc Lescure, Bordeaux",Draw
1998--france,Group E,1998-06-25,Belgium,South Korea,1,1,"Parc des Princes, Paris",Draw
1998--france,Group E,1998-06-25,Netherlands,Mexico,2,2,"Stade Geoffroy-Guichard, Saint-Étienne",Draw
1998--france,Group F,1998-06-14,Yugoslavia,Iran,1,0,"Stade Geoffroy-Guichard, Saint-Étienne",Yugoslavia
1998--france,Group F,1998-06-15,Germany,USA,2,0,"Parc des Princes, Paris",Germany
1998--france,Group F,1998-06-21,Germany,Yugoslavia,2,2,"Stade Félix Bollaert, Lens",Draw
1998--france,Group F,1998-06-21,USA,Iran,1,2,"Stade Gerland, Lyon",Iran
1998--france,Group F,1998-06-25,Germany,Iran,2,0,"Stade de la Mosson, Montpellier",Germany
1998--france,Group F,1998-06-25,USA,Yugoslavia,0,1,"Stade de la Beaujoire, Nantes",Yugoslavia
1998--france,Group G,1998-06-15,Romania,Colombia,1,0,"Stade Gerland, Lyon",Romania
1998--france,Group G,1998-06-15,England,Tunisia,2,0,"Stade Vélodrome, Marseille",England
1998--france,Group G,1998-06-22,Colombia,Tunisia,1,0,"Stade de la Mosson, Montpellier",Colombia
1998--france,Group G,1998-06-22,Romania,England,2,1,"Stade de Toulouse, Toulouse",Romania
1998--france,Group G,1998-06-26,Romania,Tunisia,1,1,"Stade de France, Saint-Denis",Draw
1998--france,Group G,1998-06-26,Colombia,England,0,2,"Stade Félix Bollaert, Lens",England
1998--france,Group H,1998-06-14,Jamaica,Croatia,1,3,"Stade Félix Bollaert, Lens",Croatia
1998--france,Group H,1998-06-14,Argentina,Japan,1,0,"Stade de Toulouse, Toulouse",Argentina
1998--france,Group H,1998-06-20,Japan,Croatia,0,1,"Stade de la Beaujoire, Nantes",Croatia
1998--france,Group H,1998-06-21,Argentina,Jamaica,5,0,"Parc des Princes, Paris",Argentina
1998--france,Group H,1998-06-26,Japan,Jamaica,1,2,"Stade Gerland, Lyon",Jamaica
1998--france,Group H,1998-06-26,Argentina,Croatia,1,0,"Parc Lescure, Bordeaux",Argentina
1998--france,Round of 16,1998-06-27,Brazil,Chile,4,1,"Parc des Princes, Paris",Brazil
1998--france,Round of 16,1998-06-27,Italy,Norway,1,0,"Stade Vélodrome, Marseille",Italy
1998--france,Round of 16,1998-06-28,Nigeria,Denmark,1,4,"Stade de France, Saint-Denis",Denmark
1998--france,Round of 16,1998-06-28,France,Paraguay,1,0,"Stade Félix Bollaert, Lens",France
1998--france,Round of 16,1998-06-29,Germany,Mexico,2,1,"Stade de la Mosson, Montpellier",Germany
1998--france,Round of 16,1998-06-29,Netherlands,Yugoslavia,2,1,"Stade de Toulouse, Toulouse",Netherlands
1998--france,Round of 16,1998-06-30,Argentina   4-3pen 2-2aet (,England,2,2,"Stade Geoffroy-Guichard, Saint-Étienne",Draw
1998--france,Round of 16,1998-06-30,Romania,Croatia,0,1,"Parc Lescure, Bordeaux",Croatia
1998--france,Quarter-finals,1998-07-03,Italy    3-4pen,France,0,0,"Stade de France, Saint-Denis",Draw
1998--france,Quarter-finals,1998-07-03,Brazil,Denmark,3,2,"Stade de la Beaujoire, Nantes",Brazil
1998--france,Quarter-finals,1998-07-04,Germany,Croatia,0,3,"Stade Gerland, Lyon",Croatia
1998--france,Quarter-finals,1998-07-04,Netherlands,Argentina,2,1,"Stade Vélodrome, Marseille",Netherlands
1998--france,Semi-finals,1998-07-07,Brazil    4-2pen 1-1aet (,Netherlands,1,1,"Stade Vélodrome, Marseille",Draw
1998--france,Semi-finals,1998-07-08,France,Croatia,2,1,"Stade de France, Saint-Denis",France
1998--france,Third place match,1998-07-11,Netherlands,Croatia,1,2,"Parc des Princes, Paris",Croatia
1998--france,Final,1998-07-12,Brazil,France,0,3,"Stade de France, Saint-Denis",France
