tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner
2022--qatar,Group A,2022-11-20,Qatar,Ecuador,0,2,"Al Bayt Stadium, Al Khor",Ecuador
2022--qatar,Group A,2022-11-21,Senegal,Netherlands,0,2,"Al Thumama Stadium, Doha",Netherlands
2022--qatar,Group A,2022-11-25,Qatar,Senegal,1,3,"Al Thumama Stadium, Doha",Senegal
2022--qatar,Group A,2022-11-25,Netherlands,Ecuador,1,1,"Khalifa International Stadium, Al Rayyan",Draw
2022--qatar,Group A,2022-11-29,Ecuador,Senegal,1,2,"Khalifa International Stadium, Al Rayyan",Senegal
2022--qatar,Group A,2022-11-29,Netherlands,Qatar,2,0,"Al Bayt Stadium, Al Khor",Netherlands
2022--qatar,Group B,2022-11-21,England,Iran,6,2,"Khalifa International Stadium, Al Rayyan",England
2022--qatar,Group B,2022-11-21,USA,Wales,1,1,"Ahmad bin Ali Stadium, Al Rayyan",Draw
2022--qatar,Group B,2022-11-25,Wales,Iran,0,2,"Ahmad bin Ali Stadium, Al Rayyan",Iran
2022--qatar,Group B,2022-11-25,England,USA,0,0,"Al Bayt Stadium, Al Khor",Draw
2022--qatar,Group B,2022-11-29,Wales,England,0,3,"Ahmad bin Ali Stadium, Al Rayyan",England
2022--qatar,Group B,2022-11-29,Iran,USA,0,1,"Al Thumama Stadium, Doha",USA
2022--qatar,Group C,2022-11-22,Argentina,Saudi Arabia,1,2,"Lusail Iconic Stadium, Lusail",Saudi Arabia
2022--qatar,Group C,2022-11-22,Mexico,Poland,0,0,"Stadium 974, Doha",Draw
2022--qatar,Group C,2022-11-26,Poland,Saudi Arabia,2,0,"Education City Stadium, Al Rayyan",Poland
2022--qatar,Group C,2022-11-26,Argentina,Mexico,2,0,"Lusail Iconic Stadium, Lusail",Argentina
2022--qatar,Group C,2022-11-30,Poland,Argentina,0,2,"Stadium 974, Doha",Argentina
2022--qatar,Group C,2022-11-30,Saudi Arabia,Mexico,1,2,"Lusail Iconic Stadium, Lusail",Mexico
2022--qatar,Group D,2022-11-22,Denmark,Tunisia,0,0,"Education City Stadium, Al Rayyan",Draw
2022--qatar,Group D,2022-11-22,France,Australia,4,1,"Al Janoub Stadium, Al Wakrah",France
2022--qatar,Group D,2022-11-26,Tunisia,Australia,0,1,"Al Janoub Stadium, Al Wakrah",Australia
2022--qatar,Group D,2022-11-26,France,Denmark,2,1,"Stadium 974, Doha",France
2022--qatar,Group D,2022-11-30,Australia,Denmark,1,0,"Al Janoub Stadium, Al Wakrah",Australia
2022--qatar,Group D,2022-11-30,Tunisia,France,1,0,"Education City Stadium, Al Rayyan",Tunisia
2022--qatar,Group E,2022-11-23,Germany,Japan,1,2,"Khalifa International Stadium, Al Rayyan",Japan
2022--qatar,Group E,2022-11-23,Spain,Costa Rica,7,0,"Al Thumama Stadium, Doha",Spain
2022--qatar,Group E,2022-11-27,Japan,Costa Rica,0,1,"Ahmad bin Ali Stadium, Al Rayyan",Costa Rica
2022--qatar,Group E,2022-11-27,Spain,Germany,1,1,"Al Bayt Stadium, Al Khor",Draw
2022--qatar,Group E,2022-12-01,Japan,Spain,2,1,"Khalifa International Stadium, Al Rayyan",Japan
2022--qatar,Group E,2022-12-01,Costa Rica,Germany,2,4,"Al Bayt Stadium, Al Khor",Germany
