tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner,home_elo,away_elo,home_elo_after,away_elo_after,elo_diff
1954--switzerland,Group 1,1954-06-16,Yugoslavia,France,1,0,"Stade Olympique de la Pontaise, Lausanne",Yugoslavia,1518.81,1462.69,1532.88,1448.62,56.12
1954--switzerland,Group 1,1954-06-19,Brazil,Yugoslavia,1,1,"Stade Olympique de la Pontaise, Lausanne",Draw,1636.43,1532.88,1628.12,1541.19,103.55
1954--switzerland,Group 1,1954-06-19,France,Mexico,3,2,"Charmilles Stadium, Geneva",France,1448.62,1356.69,1460.88,1344.43,91.93
1954--switzerland,Group 2,1954-06-17,West Germany,Turkey,4,1,"Wankdorf Stadium, Bern",West Germany,1500.0,1500.0,1530.0,1470.0,0.0
1954--switzerland,Group 2,1954-06-17,Hungary,South Korea,9,0,"Hardturm Stadium, Zürich",Hungary,1583.62,1500.0,1615.29,1468.33,83.62
1954--switzerland,Group 2,1954-06-20,Hungary,West Germany,8,3,"St. Jakob Stadium, Basel",Hungary,1615.29,1530.0,1640.46,1504.83,85.29
1954--switzerland,Group 2,1954-06-20,Turkey,South Korea,7,0,"Charmilles Stadium, Geneva",Turkey,1470.0,1468.33,1508.36,1429.97,1.67
1954--switzerland,Group 2 Play-off,1954-06-23,West Germany,Turkey,7,2,"Hardturm Stadium, Zürich",West Germany,1504.83,1508.36,1539.51,1473.68,-3.53
1954--switzerland,Group 3,1954-06-16,Uruguay,Czechoslovakia,2,0,"Wankdorf Stadium, Bern",Uruguay,1676.21,1555.62,1692.56,1539.27,120.59
1954--switzerland,Group 3,1954-06-16,Austria,Scotland,1,0,"Hardturm Stadium, Zürich",Austria,1491.8,1500.0,1509.41,1482.39,-8.2
1954--switzerland,Group 3,1954-06-19,Austria,Czechoslovakia,5,0,"Hardturm Stadium, Zürich",Austria,1509.41,1539.27,1547.09,1501.59,-29.86
1954--switzerland,Group 3,1954-06-19,Uruguay,Scotland,7,0,"St. Jakob Stadium, Basel",Uruguay,1692.56,1482.39,1709.01,1465.94,210.17
1954--switzerland,Group 4,1954-06-17,England,Belgium,4,4,"St. Jakob Stadium, Basel",Draw,1491.3,1405.98,1483.88,1413.4,85.32
1954--switzerland,Group 4,1954-06-17,Switzerland,Italy,2,1,"Stade Olympique de la Pontaise, Lausanne",Switzerland,1472.25,1695.28,1501.46,1666.07,-223.03
1954--switzerland,Group 4,1954-06-20,England,Switzerland,2,0,"Wankdorf Stadium, Bern",England,1483.88,1501.46,1511.09,1474.25,-17.58
1954--switzerland,Group 4,1954-06-20,Italy,Belgium,4,1,"Cornaredo Stadium, Lugano",Italy,1666.07,1413.4,1676.5,1402.97,252.67
1954--switzerland,Group 4 Play-off,1954-06-23,Switzerland,Italy,4,1,"St. Jakob Stadium, Basel",Switzerland,1474.25,1676.5,1523.68,1627.07,-202.25
1954--switzerland,Quarter-finals,1954-06-26,Austria,Switzerland,7,5,"Stade Olympique de la Pontaise, Lausanne",Austria,1547.09,1523.68,1582.72,1488.05,23.41
1954--switzerland,Quarter-finals,1954-06-26,Uruguay,England,4,2,"St. Jakob Stadium, Basel",Uruguay,1709.01,1511.09,1726.43,1493.67,197.92
1954--switzerland,Quarter-finals,1954-06-27,Yugoslavia,West Germany,0,2,"Charmilles Stadium, Geneva",West Germany,1541.19,1539.51,1489.55,1591.15,1.68
1954--switzerland,Quarter-finals,1954-06-27,Brazil,Hungary,2,4,"Wankdorf Stadium, Bern",Hungary,1628.12,1640.46,1578.26,1690.32,-12.34
1954--switzerland,Semi-finals,1954-06-30,West Germany,Austria,6,1,"St. Jakob Stadium, Basel",West Germany,1591.15,1582.72,1641.15,1532.72,8.43
1954--switzerland,Semi-finals,1954-06-30,Hungary,Uruguay,4,2,"Stade Olympique de la Pontaise, Lausanne",Hungary,1690.32,1726.43,1733.52,1683.23,-36.11
1954--switzerland,Third-place match         ## use just Third-place  - why? why not?,1954-07-03,Uruguay,Austria,1,3,"Hardturm Stadium, Zürich",Austria,1683.23,1532.72,1637.61,1578.34,150.51
1954--switzerland,Final,1954-07-04,Hungary,West Germany,2,3,"Wankdorf Stadium, Bern",West Germany,1733.52,1641.15,1691.87,1682.8,92.37
1958--sweden,Group 1,1958-06-08,West Germany,Argentina,3,1,"Malmö Stadion, Malmö",West Germany,1682.8,1554.93,1698.66,1539.07,127.87
1958--sweden,Group 1,1958-06-08,Northern Ireland,Czechoslovakia,1,0,"Örjans Vall, Halmstad",Northern Ireland,1500.0,1501.59,1517.23,1484.36,-1.59
1958--sweden,Group 1,1958-06-11,Argentina,Northern Ireland,3,1,"Örjans Vall, Halmstad",Argentina,1539.07,1517.23,1562.95,1493.35,21.84
1958--sweden,Group 1,1958-06-11,West Germany,Czechoslovakia,2,2,"Olympiastadion, Helsingborg",Draw,1698.66,1484.36,1685.83,1497.19,214.3
1958--sweden,Group 1,1958-06-15,West Germany,Northern Ireland,2,2,"Malmö Stadion, Malmö",Draw,1685.83,1493.35,1673.77,1505.41,192.48
1958--sweden,Group 1,1958-06-15,Czechoslovakia,Argentina,6,1,"Olympiastadion, Helsingborg",Czechoslovakia,1497.19,1562.95,1539.0,1521.14,-65.76
1958--sweden,Group 1 Play-off,1958-06-17,Northern Ireland,Czechoslovakia,2,1,"Malmö Stadion, Malmö",Northern Ireland,1505.41,1539.0,1524.47,1519.94,-33.59
1958--sweden,Group 2,1958-06-08,France,Paraguay,7,3,"Idrottsparken, Norrköping",France,1460.88,1481.86,1495.26,1447.48,-20.98
1958--sweden,Group 2,1958-06-08,Yugoslavia,Scotland,1,1,"Arosvallen, Västerås",Draw,1489.55,1465.94,1485.37,1470.12,23.61
1958--sweden,Group 2,1958-06-11,Yugoslavia,France,3,2,"Arosvallen, Västerås",Yugoslavia,1485.37,1495.26,1503.07,1477.56,-9.89
1958--sweden,Group 2,1958-06-11,Paraguay,Scotland,3,2,"Idrottsparken, Norrköping",Paraguay,1447.48,1470.12,1465.91,1451.69,-22.64
1958--sweden,Group 2,1958-06-15,France,Scotland,2,1,"Eyravallen, Örebro",France,1477.56,1451.69,1493.26,1435.99,25.87
1958--sweden,Group 2,1958-06-15,Paraguay,Yugoslavia,3,3,"Tunavallen, Eskilstuna",Draw,1465.91,1503.07,1465.17,1503.81,-37.16
1958--sweden,Group 3,1958-06-08,Sweden,Mexico,3,0,"Råsunda Stadium, Solna",Sweden,1503.05,1344.43,1519.24,1328.24,158.62
1958--sweden,Group 3,1958-06-08,Hungary,Wales,1,1,"Jernvallen, Sandviken",Draw,1691.87,1500.0,1679.83,1512.04,191.87
1958--sweden,Group 3,1958-06-11,Mexico,Wales,1,1,"Råsunda Stadium, Solna",Draw,1328.24,1512.04,1335.58,1504.7,-183.8
1958--sweden,Group 3,1958-06-12,Sweden,Hungary,2,1,"Råsunda Stadium, Solna",Sweden,1519.24,1679.83,1545.4,1653.67,-160.59
1958--sweden,Group 3,1958-06-15,Sweden,Wales,0,0,"Råsunda Stadium, Solna",Draw,1545.4,1504.7,1540.29,1509.81,40.7
1958--sweden,Group 3,1958-06-15,Hungary,Mexico,4,0,"Jernvallen, Sandviken",Hungary,1653.67,1335.58,1661.72,1327.53,318.09
1958--sweden,Group 3 Play-off,1958-06-17,Wales,Hungary,2,1,"Råsunda Stadium, Solna",Wales,1509.81,1661.72,1535.51,1636.02,-151.91
1958--sweden,Group 4,1958-06-08,Brazil,Austria,3,0,"Rimnersvallen, Uddevalla",Brazil,1578.26,1578.34,1608.27,1548.33,-0.08
1958--sweden,Group 4,1958-06-08,Soviet Union,England,2,2,"Ullevi, Gothenburg",Draw,1500.0,1493.67,1496.79,1496.88,6.33
1958--sweden,Group 4,1958-06-11,Brazil,England,0,0,"Ullevi, Gothenburg",Draw,1608.27,1496.88,1599.59,1505.56,111.39
1958--sweden,Group 4,1958-06-11,Soviet Union,Austria,2,0,"Ryavallen, Borås",Soviet Union,1496.79,1548.33,1526.92,1518.2,-51.54
1958--sweden,Group 4,1958-06-15,England,Austria,2,2,"Ryavallen, Borås",Draw,1505.56,1518.2,1503.42,1520.34,-12.64
1958--sweden,Group 4,1958-06-15,Brazil,Soviet Union,2,0,"Ullevi, Gothenburg",Brazil,1599.59,1526.92,1619.42,1507.09,72.67
1958--sweden,Group 4 Play-off,1958-06-17,Soviet Union,England,1,0,"Ullevi, Gothenburg",Soviet Union,1507.09,1503.42,1524.02,1486.49,3.67
1958--sweden,Quarter-finals,1958-06-19,France,Northern Ireland,4,0,"Idrottsparken, Norrköping",France,1493.26,1524.47,1546.47,1471.26,-31.21
1958--sweden,Quarter-finals,1958-06-19,Sweden,Soviet Union,2,0,"Råsunda Stadium, Solna",Sweden,1540.29,1524.02,1576.81,1487.5,16.27
1958--sweden,Quarter-finals,1958-06-19,Brazil,Wales,1,0,"Ullevi, Gothenburg",Brazil,1619.42,1535.51,1638.4,1516.53,83.91
1958--sweden,Quarter-finals,1958-06-19,West Germany,Yugoslavia,1,0,"Malmö Stadion, Malmö",West Germany,1673.77,1503.81,1686.96,1490.62,169.96
1958--sweden,Semi-finals,1958-06-24,France,Brazil,2,5,"Råsunda Stadium, Solna",Brazil,1546.47,1638.4,1500.28,1684.59,-91.93
1958--sweden,Semi-finals,1958-06-24,West Germany,Sweden,1,3,"Ullevi, Gothenburg",Sweden,1686.96,1576.81,1622.57,1641.2,110.15
1958--sweden,Semi-finals,1958-06-28,West Germany,France,3,6,"Ullevi, Gothenburg",France,1622.57,1500.28,1545.98,1576.87,122.29
1958--sweden,Final,1958-06-29,Sweden,Brazil,2,5,"Råsunda Stadium, Solna",Brazil,1641.2,1684.59,1587.7,1738.09,-43.39
1962--chile,Group 1,1962-05-30,Uruguay,Colombia,2,1,"Estadio Carlos Dittborn, Arica",Uruguay,1637.61,1500.0,1647.75,1489.86,137.61
1962--chile,Group 1,1962-05-31,Soviet Union,Yugoslavia,2,0,"Estadio Carlos Dittborn, Arica",Soviet Union,1487.5,1490.62,1513.48,1464.64,-3.12
1962--chile,Group 1,1962-06-02,Yugoslavia,Uruguay,3,1,"Estadio Carlos Dittborn, Arica",Yugoslavia,1464.64,1647.75,1505.6,1606.79,-183.11
1962--chile,Group 1,1962-06-03,Soviet Union,Colombia,4,4,"Estadio Carlos Dittborn, Arica",Draw,1513.48,1489.86,1509.3,1494.04,23.62
1962--chile,Group 1,1962-06-06,Soviet Union,Uruguay,2,1,"Estadio Carlos Dittborn, Arica",Soviet Union,1509.3,1606.79,1532.02,1584.07,-97.49
1962--chile,Group 1,1962-06-07,Yugoslavia,Colombia,5,0,"Estadio Carlos Dittborn, Arica",Yugoslavia,1505.6,1494.04,1538.59,1461.05,11.56
1962--chile,Group 2,1962-05-30,Chile,Switzerland,3,1,"Estadio Nacional, Santiago",Chile,1498.55,1488.05,1523.38,1463.22,10.5
1962--chile,Group 2,1962-05-31,West Germany,Italy,0,0,"Estadio Nacional, Santiago",Draw,1545.98,1627.07,1547.76,1625.29,-81.09
1962--chile,Group 2,1962-06-02,Chile,Italy,2,0,"Estadio Nacional, Santiago",Chile,1523.38,1625.29,1557.83,1590.84,-101.91
1962--chile,Group 2,1962-06-03,West Germany,Switzerland,2,1,"Estadio Nacional, Santiago",West Germany,1547.76,1463.22,1560.38,1450.6,84.54
1962--chile,Group 2,1962-06-06,West Germany,Chile,2,0,"Estadio Nacional, Santiago",West Germany,1560.38,1557.83,1585.88,1532.33,2.55
1962--chile,Group 2,1962-06-07,Italy,Switzerland,3,0,"Estadio Nacional, Santiago",Italy,1590.84,1450.6,1608.39,1433.05,140.24
1962--chile,Group 3,1962-05-30,Brazil,Mexico,2,0,"Estadio Sausalito, Viña del Mar",Brazil,1738.09,1327.53,1742.04,1323.58,410.56
1962--chile,Group 3,1962-05-31,Czechoslovakia,Spain,1,0,"Estadio Sausalito, Viña del Mar",Czechoslovakia,1519.94,1516.93,1536.91,1499.96,3.01
1962--chile,Group 3,1962-06-02,Brazil,Czechoslovakia,0,0,"Estadio Sausalito, Viña del Mar",Draw,1742.04,1536.91,1729.53,1549.42,205.13
1962--chile,Group 3,1962-06-03,Spain,Mexico,1,0,"Estadio Sausalito, Viña del Mar",Spain,1499.96,1323.58,1508.51,1315.03,176.38
1962--chile,Group 3,1962-06-06,Brazil,Spain,2,1,"Estadio Sausalito, Viña del Mar",Brazil,1729.53,1508.51,1736.48,1501.56,221.02
1962--chile,Group 3,1962-06-07,Mexico,Czechoslovakia,3,1,"Estadio Sausalito, Viña del Mar",Mexico,1315.03,1549.42,1359.61,1504.84,-234.39
1962--chile,Group 4,1962-05-30,Argentina,Bulgaria,1,0,"Estadio El Teniente, Rancagua",Argentina,1521.14,1500.0,1537.1,1484.04,21.14
1962--chile,Group 4,1962-05-31,Hungary,England,2,1,"Estadio El Teniente, Rancagua",Hungary,1636.02,1486.49,1645.65,1476.86,149.53
1962--chile,Group 4,1962-06-02,England,Argentina,3,1,"Estadio El Teniente, Rancagua",England,1476.86,1537.1,1507.74,1506.22,-60.24
1962--chile,Group 4,1962-06-03,Hungary,Bulgaria,6,1,"Estadio El Teniente, Rancagua",Hungary,1645.65,1484.04,1663.91,1465.78,161.61
1962--chile,Group 4,1962-06-06,Hungary,Argentina,0,0,"Estadio El Teniente, Rancagua",Draw,1663.91,1506.22,1653.2,1516.93,157.69
1962--chile,Group 4,1962-06-07,England,Bulgaria,0,0,"Estadio El Teniente, Rancagua",Draw,1507.74,1465.78,1502.57,1470.95,41.96
1962--chile,Quarter-finals,1962-06-10,Chile,Soviet Union,2,1,"Estadio Carlos Dittborn, Arica",Chile,1532.33,1532.02,1558.02,1506.33,0.31
1962--chile,Quarter-finals,1962-06-10,Yugoslavia,West Germany,1,0,"Estadio Nacional, Santiago",Yugoslavia,1538.59,1585.88,1568.36,1556.11,-47.29
1962--chile,Quarter-finals,1962-06-10,Brazil,England,3,1,"Estadio Sausalito, Viña del Mar",Brazil,1736.48,1502.57,1751.17,1487.88,233.91
1962--chile,Quarter-finals,1962-06-10,Czechoslovakia,Hungary,1,0,"Estadio El Teniente, Rancagua",Czechoslovakia,1504.84,1653.2,1543.11,1614.93,-148.36
1962--chile,Semi-finals,1962-06-13,Brazil,Chile,4,2,"Estadio Nacional, Santiago",Brazil,1751.17,1558.02,1768.98,1540.21,193.15
1962--chile,Semi-finals,1962-06-13,Czechoslovakia,Yugoslavia,3,1,"Estadio Sausalito, Viña del Mar",Czechoslovakia,1543.11,1568.36,1584.91,1526.56,-25.25
1962--chile,Third-place match,1962-06-16,Chile,Yugoslavia,1,0,"Estadio Nacional, Santiago",Chile,1540.21,1526.56,1564.77,1502.0,13.65
1962--chile,Final,1962-06-17,Brazil,Czechoslovakia,3,1,"Estadio Nacional, Santiago",Brazil,1768.98,1584.91,1787.55,1566.34,184.07
1966--england,Group 1,1966-07-11,England,Uruguay,0,0,"Wembley Stadium, London",Draw,1487.88,1584.07,1490.52,1581.43,-96.19
1966--england,Group 1,1966-07-13,France,Mexico,1,1,"Wembley Stadium, London",Draw,1576.87,1359.61,1563.94,1372.54,217.26
1966--england,Group 1,1966-07-15,Uruguay,France,2,1,"White City Stadium, London",Uruguay,1581.43,1563.94,1597.59,1547.78,17.49
1966--england,Group 1,1966-07-16,England,Mexico,2,0,"Wembley Stadium, London",England,1490.52,1372.54,1507.05,1356.01,117.98
1966--england,Group 1,1966-07-19,Mexico,Uruguay,0,0,"Wembley Stadium, London",Draw,1356.01,1597.59,1366.04,1587.56,-241.58
1966--england,Group 1,1966-07-20,England,France,2,0,"Wembley Stadium, London",England,1507.05,1547.78,1536.25,1518.58,-40.73
1966--england,Group 2,1966-07-12,West Germany,Switzerland,5,0,"Hillsborough Stadium, Sheffield",West Germany,1556.11,1433.05,1577.68,1411.48,123.06
1966--england,Group 2,1966-07-13,Argentina,Spain,2,1,"Villa Park, Birmingham",Argentina,1516.93,1501.56,1533.21,1485.28,15.37
1966--england,Group 2,1966-07-15,Spain,Switzerland,2,1,"Hillsborough Stadium, Sheffield",Spain,1485.28,1411.48,1498.44,1398.32,73.8
1966--england,Group 2,1966-07-16,Argentina,West Germany,0,0,"Villa Park, Birmingham",Draw,1533.21,1577.68,1532.89,1578.0,-44.47
1966--england,Group 2,1966-07-19,Argentina,Switzerland,2,0,"Hillsborough Stadium, Sheffield",Argentina,1532.89,1398.32,1548.3,1382.91,134.57
1966--england,Group 2,1966-07-20,West Germany,Spain,2,1,"Villa Park, Birmingham",West Germany,1578.0,1498.44,1590.87,1485.57,79.56
1966--england,Group 3,1966-07-12,Brazil,Bulgaria,2,0,"Goodison Park, Liverpool",Brazil,1787.55,1470.95,1794.04,1464.46,316.6
1966--england,Group 3,1966-07-13,Portugal,Hungary,3,1,"Old Trafford, Manchester",Portugal,1500.0,1614.93,1535.54,1579.39,-114.93
1966--england,Group 3,1966-07-15,Hungary,Brazil,3,1,"Goodison Park, Liverpool",Hungary,1579.39,1794.04,1622.63,1750.8,-214.65
1966--england,Group 3,1966-07-16,Portugal,Bulgaria,3,0,"Old Trafford, Manchester",Portugal,1535.54,1464.46,1558.81,1441.19,71.08
1966--england,Group 3,1966-07-19,Portugal,Brazil,3,1,"Goodison Park, Liverpool",Portugal,1558.81,1750.8,1600.43,1709.18,-191.99
1966--england,Group 3,1966-07-20,Hungary,Bulgaria,3,1,"Old Trafford, Manchester",Hungary,1622.63,1441.19,1635.16,1428.66,181.44
1966--england,Group 4,1966-07-12,Soviet Union,North Korea,3,0,"Ayresome Park, Middlesbrough",Soviet Union,1506.33,1500.0,1535.7,1470.63,6.33
1966--england,Group 4,1966-07-13,Italy,Chile,2,0,"Roker Park, Sunderland",Italy,1608.39,1564.77,1630.5,1542.66,43.62
1966--england,Group 4,1966-07-15,Chile,North Korea,1,1,"Ayresome Park, Middlesbrough",Draw,1542.66,1470.63,1535.91,1477.38,72.03
1966--england,Group 4,1966-07-16,Soviet Union,Italy,1,0,"Roker Park, Sunderland",Soviet Union,1535.7,1630.5,1558.26,1607.94,-94.8
1966--england,Group 4,1966-07-19,North Korea,Italy,1,0,"Ayresome Park, Middlesbrough",North Korea,1477.38,1607.94,1501.94,1583.38,-130.56
1966--england,Group 4,1966-07-20,Soviet Union,Chile,2,1,"Roker Park, Sunderland",Soviet Union,1558.26,1535.91,1574.15,1520.02,22.35
1966--england,Quarter-finals,1966-07-23,England,Argentina,1,0,"Wembley Stadium, London",England,1536.25,1548.3,1562.99,1521.56,-12.05
1966--england,Quarter-finals,1966-07-23,West Germany,Uruguay,4,0,"Hillsborough Stadium, Sheffield",West Germany,1590.87,1587.56,1638.56,1539.87,3.31
1966--england,Quarter-finals,1966-07-23,Soviet Union,Hungary,2,1,"Roker Park, Sunderland",Soviet Union,1574.15,1635.16,1605.1,1604.21,-61.01
1966--england,Quarter-finals,1966-07-23,Portugal,North Korea,5,3,"Goodison Park, Liverpool",Portugal,1600.43,1501.94,1627.29,1475.08,98.49
1966--england,Semi-finals,1966-07-25,West Germany,Soviet Union,2,1,"Goodison Park, Liverpool",West Germany,1638.56,1605.1,1661.49,1582.17,33.46
1966--england,Semi-finals,1966-07-26,England,Portugal,2,1,"Wembley Stadium, London",England,1562.99,1627.29,1594.22,1596.06,-64.3
1966--england,Third-place match,1966-07-28,Portugal,Soviet Union,2,1,"Wembley Stadium, London",Portugal,1596.06,1582.17,1620.6,1557.63,13.89
1966--england,Final,1966-07-30,England,West Germany,4,2,"Wembley Stadium, London",England,1594.22,1661.49,1641.45,1614.26,-67.27
1970--mexico,Group 1,1970-05-31,Mexico,Soviet Union,0,0,"Estadio Azteca, Mexico City",Draw,1366.04,1557.63,1373.77,1549.9,-191.59
1970--mexico,Group 1,1970-06-03,Belgium,El Salvador,3,0,"Estadio Azteca, Mexico City",Belgium,1402.97,1500.0,1442.68,1460.29,-97.03
1970--mexico,Group 1,1970-06-06,Soviet Union,Belgium,4,1,"Estadio Azteca, Mexico City",Soviet Union,1549.9,1442.68,1570.06,1422.52,107.22
1970--mexico,Group 1,1970-06-07,Mexico,El Salvador,4,0,"Estadio Azteca, Mexico City",Mexico,1373.77,1460.29,1415.2,1418.86,-86.52
1970--mexico,Group 1,1970-06-10,Soviet Union,El Salvador,2,0,"Estadio Azteca, Mexico City",Soviet Union,1570.06,1418.86,1584.4,1404.52,151.2
1970--mexico,Group 1,1970-06-11,Mexico,Belgium,1,0,"Estadio Azteca, Mexico City",Mexico,1415.2,1422.52,1432.76,1404.96,-7.32
1970--mexico,Group 2,1970-06-02,Uruguay,Israel,2,0,"Estadio Cuauhtémoc, Puebla",Uruguay,1539.87,1500.0,1562.28,1477.59,39.87
1970--mexico,Group 2,1970-06-03,Italy,Sweden,1,0,"Estadio Luis Dosal, Toluca",Italy,1583.38,1587.7,1600.77,1570.31,-4.32
1970--mexico,Group 2,1970-06-06,Uruguay,Italy,0,0,"Estadio Cuauhtémoc, Puebla",Draw,1562.28,1600.77,1561.62,1601.43,-38.49
1970--mexico,Group 2,1970-06-07,Sweden,Israel,1,1,"Estadio Luis Dosal, Toluca",Draw,1570.31,1477.59,1562.53,1485.37,92.72
1970--mexico,Group 2,1970-06-10,Uruguay,Sweden,0,1,"Estadio Cuauhtémoc, Puebla",Sweden,1561.62,1562.53,1538.81,1585.34,-0.91
1970--mexico,Group 2,1970-06-11,Israel,Italy,0,0,"Estadio Luis Dosal, Toluca",Draw,1485.37,1601.43,1489.13,1597.67,-116.06
1970--mexico,Group 3,1970-06-02,Romania,England,0,1,"Estadio Jalisco, Guadalajara",England,1463.74,1641.45,1450.78,1654.41,-177.71
1970--mexico,Group 3,1970-06-03,Czechoslovakia,Brazil,1,4,"Estadio Jalisco, Guadalajara",Brazil,1566.34,1709.18,1540.48,1735.04,-142.84
1970--mexico,Group 3,1970-06-06,Romania,Czechoslovakia,2,1,"Estadio Jalisco, Guadalajara",Romania,1450.78,1540.48,1473.06,1518.2,-89.7
1970--mexico,Group 3,1970-06-07,England,Brazil,0,1,"Estadio Jalisco, Guadalajara",Brazil,1654.41,1735.04,1636.17,1753.28,-80.63
1970--mexico,Group 3,1970-06-10,Romania,Brazil,2,3,"Estadio Jalisco, Guadalajara",Brazil,1473.06,1753.28,1464.66,1761.68,-280.22
1970--mexico,Group 3,1970-06-11,England,Czechoslovakia,1,0,"Estadio Jalisco, Guadalajara",England,1636.17,1518.2,1647.19,1507.18,117.97
1970--mexico,Group 4,1970-06-02,Peru,Bulgaria,3,2,"Estadio Nou Camp, León",Peru,1458.58,1428.66,1474.06,1413.18,29.92
1970--mexico,Group 4,1970-06-03,Morocco,West Germany,1,2,"Estadio Nou Camp, León",West Germany,1500.0,1614.26,1483.66,1630.6,-114.26
1970--mexico,Group 4,1970-06-06,Peru,Morocco,3,0,"Estadio Nou Camp, León",Peru,1474.06,1483.66,1505.01,1452.71,-9.6
1970--mexico,Group 4,1970-06-07,Bulgaria,West Germany,2,5,"Estadio Nou Camp, León",West Germany,1413.18,1630.6,1393.85,1649.93,-217.42
1970--mexico,Group 4,1970-06-10,Peru,West Germany,1,3,"Estadio Nou Camp, León",West Germany,1505.01,1649.93,1483.01,1671.93,-144.92
1970--mexico,Group 4,1970-06-11,Bulgaria,Morocco,1,1,"Estadio Nou Camp, León",Draw,1393.85,1452.71,1394.36,1452.2,-58.86
1970--mexico,Quarter-finals,1970-06-14,Soviet Union,Uruguay,0,1,"Estadio Azteca, Mexico City",Uruguay,1584.4,1538.81,1546.35,1576.86,45.59
1970--mexico,Quarter-finals,1970-06-14,Italy,Mexico,4,1,"Estadio Luis Dosal, Toluca",Italy,1597.67,1432.76,1621.29,1409.14,164.91
1970--mexico,Quarter-finals,1970-06-14,Brazil,Peru,4,2,"Estadio Jalisco, Guadalajara",Brazil,1761.68,1483.01,1773.47,1471.22,278.67
1970--mexico,Quarter-finals,1970-06-14,West Germany,England,3,2,"Estadio Nou Camp, León",West Germany,1671.93,1647.19,1695.57,1623.55,24.74
1970--mexico,Semi-finals,1970-06-17,Uruguay,Brazil,1,3,"Estadio Jalisco, Guadalajara",Brazil,1576.86,1773.47,1549.8,1800.53,-196.61
1970--mexico,Semi-finals,1970-06-17,Italy,West Germany,4,3,"Estadio Azteca, Mexico City",Italy,1621.29,1695.57,1653.38,1663.48,-74.28
1970--mexico,Semi-finals,1970-06-20,Uruguay,West Germany,0,1,"Estadio Azteca, Mexico City",West Germany,1549.8,1663.48,1525.24,1688.04,-113.68
1970--mexico,Final,1970-06-21,Brazil,Italy,4,1,"Estadio Azteca, Mexico City",Brazil,1800.53,1653.38,1826.07,1627.84,147.15
1974--west-germany,Group 1,1974-06-14,West Germany,Chile,1,0,"Olympiastadion, West Berlin",West Germany,1688.04,1520.02,1696.91,1511.15,168.02
1974--west-germany,Group 1,1974-06-14,East Germany,Australia,2,0,"Volksparkstadion, Hamburg",East Germany,1500.0,1500.0,1525.71,1474.29,0.0
1974--west-germany,Group 1,1974-06-18,Chile,East Germany,1,1,"Olympiastadion, West Berlin",Draw,1511.15,1525.71,1509.12,1527.74,-14.56
1974--west-germany,Group 1,1974-06-18,Australia,West Germany,0,3,"Volksparkstadion, Hamburg",West Germany,1474.29,1696.91,1455.38,1715.82,-222.62
1974--west-germany,Group 1,1974-06-22,Australia,Chile,0,0,"Olympiastadion, West Berlin",Draw,1455.38,1509.12,1455.6,1508.9,-53.74
1974--west-germany,Group 1,1974-06-22,East Germany,West Germany,1,0,"Volksparkstadion, Hamburg",East Germany,1527.74,1715.82,1555.29,1688.27,-188.08
1974--west-germany,Group 2,1974-06-13,Brazil,Yugoslavia,0,0,"Waldstadion, Frankfurt",Draw,1826.07,1502.0,1810.23,1517.84,324.07
1974--west-germany,Group 2,1974-06-14,Zaire,Scotland,0,2,"Westfalenstadion, Dortmund",Scotland,1500.0,1435.99,1460.49,1475.5,64.01
1974--west-germany,Group 2,1974-06-18,Yugoslavia,Zaire,9,0,"Parkstadion, Gelsenkirchen",Yugoslavia,1517.84,1460.49,1552.86,1425.47,57.35
1974--west-germany,Group 2,1974-06-18,Scotland,Brazil,0,0,"Waldstadion, Frankfurt",Draw,1475.5,1810.23,1489.0,1796.73,-334.73
1974--west-germany,Group 2,1974-06-22,Scotland,Yugoslavia,1,1,"Waldstadion, Frankfurt",Draw,1489.0,1552.86,1489.8,1552.06,-63.86
1974--west-germany,Group 2,1974-06-22,Zaire,Brazil,0,3,"Parkstadion, Gelsenkirchen",Brazil,1425.47,1796.73,1415.95,1806.25,-371.26
1974--west-germany,Group 3,1974-06-15,Uruguay,Netherlands,0,2,"Niedersachsenstadion, Hanover",Netherlands,1525.24,1459.75,1485.62,1499.37,65.49
1974--west-germany,Group 3,1974-06-15,Sweden,Bulgaria,0,0,"Rheinstadion, Düsseldorf",Draw,1585.34,1394.36,1573.33,1406.37,190.98
1974--west-germany,Group 3,1974-06-19,Netherlands,Sweden,0,0,"Westfalenstadion, Dortmund",Draw,1499.37,1573.33,1500.75,1571.95,-73.96
1974--west-germany,Group 3,1974-06-19,Uruguay,Bulgaria,1,1,"Niedersachsenstadion, Hanover",Draw,1485.62,1406.37,1478.51,1413.48,79.25
1974--west-germany,Group 3,1974-06-23,Netherlands,Bulgaria,4,1,"Westfalenstadion, Dortmund",Netherlands,1500.75,1413.48,1522.6,1391.63,87.27
1974--west-germany,Group 3,1974-06-23,Sweden,Uruguay,3,0,"Rheinstadion, Düsseldorf",Sweden,1571.95,1478.51,1593.27,1457.19,93.44
1974--west-germany,Group 4,1974-06-15,Italy,Haiti,3,1,"Olympiastadion, Munich",Italy,1627.84,1500.0,1643.7,1484.14,127.84
1974--west-germany,Group 4,1974-06-15,Poland,Argentina,3,2,"Neckarstadion, Stuttgart",Poland,1482.11,1521.56,1501.5,1502.17,-39.45
