tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner
1994--usa,Group A,1994-06-18,USA,Switzerland,1,1,"Pontiac Silverdome, Pontiac",Draw
1994--usa,Group A,1994-06-18,Colombia,Romania,1,3,"Rose Bowl, Pasadena",Romania
1994--usa,Group A,1994-06-22,Romania,Switzerland,1,4,"Pontiac Silverdome, Pontiac",Switzerland
1994--usa,Group A,1994-06-22,USA,Colombia,2,1,"Rose Bowl, Pasadena",USA
1994--usa,Group A,1994-06-26,USA,Romania,0,1,"Rose Bowl, Pasadena",Romania
1994--usa,Group A,1994-06-26,Switzerland,Colombia,0,2,"Stanford Stadium, Stanford",Colombia
1994--usa,Group B,1994-06-19,Cameroon,Sweden,2,2,"Rose Bowl, Pasadena",Draw
1994--usa,Group B,1994-06-20,Brazil,Russia,2,0,"Stanford Stadium, Stanford",Brazil
1994--usa,Group B,1994-06-24,Brazil,Cameroon,3,0,"Stanford Stadium, Stanford",Brazil
1994--usa,Group B,1994-06-24,Sweden,Russia,3,1,"Pontiac Silverdome, Pontiac",Sweden
1994--usa,Group B,1994-06-28,Russia,Cameroon,6,1,"Stanford Stadium, Stanford",Russia
1994--usa,Group B,1994-06-28,Brazil,Sweden,1,1,"Pontiac Silverdome, Pontiac",Draw
1994--usa,Group C,1994-06-17,Germany,Bolivia,1,0,"Soldier Field, Chicago",Germany
1994--usa,Group C,1994-06-17,Spain,South Korea,2,2,"Cotton Bowl, Dallas",Draw
1994--usa,Group C,1994-06-21,Germany,Spain,1,1,"Soldier Field, Chicago",Draw
1994--usa,Group C,1994-06-23,South Korea,Bolivia,0,0,"Foxboro Stadium, Foxborough",Draw
1994--usa,Group C,1994-06-27,Bolivia,Spain,1,3,"Soldier Field, Chicago",Spain
1994--usa,Group C,1994-06-27,Germany,South Korea,3,2,"Cotton Bowl, Dallas",Germany
1994--usa,Group D,1994-06-21,Argentina,Greece,4,0,"Foxboro Stadium, Foxborough",Argentina
1994--usa,Group D,1994-06-21,Nigeria,Bulgaria,3,0,"Cotton Bowl, Dallas",Nigeria
1994--usa,Group D,1994-06-25,Argentina,Nigeria,2,1,"Foxboro Stadium, Foxborough",Argentina
1994--usa,Group D,1994-06-26,Greece,Bulgaria,0,4,"Soldier Field, Chicago",Bulgaria
1994--usa,Group D,1994-06-30,Greece,Nigeria,0,2,"Foxboro Stadium, Foxborough",Nigeria
1994--usa,Group D,1994-06-30,Argentina,Bulgaria,0,2,"Cotton Bowl, Dallas",Bulgaria
1994--usa,Group E,1994-06-18,Italy,Ireland,0,1,"Giants Stadium, East Rutherford",Ireland
1994--usa,Group E,1994-06-19,Norway,Mexico,1,0,"RFK Stadium, Washington",Norway
1994--usa,Group E,1994-06-23,Italy,Norway,1,0,"Giants Stadium, East Rutherford",Italy
1994--usa,Group E,1994-06-24,Mexico,Ireland,2,1,"Citrus Bowl, Orlando",Mexico
1994--usa,Group E,1994-06-28,Ireland,Norway,0,0,"Giants Stadium, East Rutherford",Draw
1994--usa,Group E,1994-06-28,Italy,Mexico,1,1,"RFK Stadium, Washington",Draw
1994--usa,Group F,1994-06-19,Belgium,Morocco,1,0,"Citrus Bowl, Orlando",Belgium
1994--usa,Group F,1994-06-20,Netherlands,Saudi Arabia,2,1,"RFK Stadium, Washington",Netherlands
1994--usa,Group F,1994-06-25,Belgium,Netherlands,1,0,"Citrus Bowl, Orlando",Belgium
1994--usa,Group F,1994-06-25,Saudi Arabia,Morocco,2,1,"Giants Stadium, East Rutherford",Saudi Arabia
1994--usa,Group F,1994-06-29,Morocco,Netherlands,1,2,"Citrus Bowl, Orlando",Netherlands
1994--usa,Group F,1994-06-29,Belgium,Saudi Arabia,0,1,"RFK Stadium, Washington",Saudi Arabia
1994--usa,Round of 16,1994-07-02,Germany,Belgium,3,2,"Soldier Field, Chicago",Germany
1994--usa,Round of 16,1994-07-02,Spain,Switzerland,3,0,"RFK Stadium, Washington",Spain
1994--usa,Round of 16,1994-07-03,Saudi Arabia,Sweden,1,3,"Cotton Bowl, Dallas",Sweden
1994--usa,Round of 16,1994-07-03,Romania,Argentina,3,2,"Rose Bowl, Pasadena",Romania
1994--usa,Round of 16,1994-07-04,Netherlands,Ireland,2,0,"Citrus Bowl, Orlando",Netherlands
1994--usa,Round of 16,1994-07-04,Brazil,USA,1,0,"Stanford Stadium, Stanford",Brazil
1994--usa,Round of 16,1994-07-05,Nigeria,Italy,1,2,"Foxboro Stadium, Foxborough",Italy
1994--usa,Round of 16,1994-07-05,Mexico,Bulgaria,1,3,"Giants Stadium, East Rutherford",Bulgaria
1994--usa,Quarter-finals,1994-07-09,Italy,Spain,2,1,"Foxboro Stadium, Foxborough",Italy
1994--usa,Quarter-finals,1994-07-09,Netherlands,Brazil,2,3,"Cotton Bowl, Dallas",Brazil
1994--usa,Quarter-finals,1994-07-10,Bulgaria,Germany,2,1,"Giants Stadium, East Rutherford",Bulgaria
1994--usa,Quarter-finals,1994-07-10,Romania,Sweden,4,5,"Stanford Stadium, Stanford",Sweden
1994--usa,Semi-finals,1994-07-13,Bulgaria,Italy,1,2,"Giants Stadium, East Rutherford",Italy
1994--usa,Semi-finals,1994-07-13,Sweden,Brazil,0,1,"Rose Bowl, Pasadena",Brazil
1994--usa,Third-place match,1994-07-16,Sweden,Bulgaria,4,0,"Rose Bowl, Pasadena",Sweden
1994--usa,Final,1994-07-17,Brazil,Italy,3,2,"Rose Bowl, Pasadena",Brazil
