tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner
1950--brazil,Group 1,1950-07-01,Brazil,Yugoslavia,2,0,"Estádio do Maracanã, Rio de Janeiro",Brazil
1950--brazil,Group 1,1950-07-02,Switzerland,Mexico,2,1,"Estádio dos Eucaliptos, Porto Alegre",Switzerland
1950--brazil,Group 2,1950-06-25,England,Chile,2,0,"Estádio do Maracanã, Rio de Janeiro",England
1950--brazil,Group 2,1950-06-25,Spain,United States,3,1,"Estádio Durival de Britto, Curitiba",Spain
1950--brazil,Group 2,1950-06-29,Spain,Chile,2,0,"Estádio do Maracanã, Rio de Janeiro",Spain
1950--brazil,Group 2,1950-06-29,United States,England,1,0,"Estádio Independência, Belo Horizonte",United States
1950--brazil,Group 2,1950-07-02,Spain,England,1,0,"Estádio do Maracanã, Rio de Janeiro",Spain
1950--brazil,Group 2,1950-07-02,Chile,United States,5,2,"Estádio Ilha do Retiro, Recife",Chile
1950--brazil,Group 3,1950-06-25,Sweden,Italy,3,2,"Estádio do Pacaembu, São Paulo",Sweden
1950--brazil,Group 3,1950-06-29,Sweden,Paraguay,2,2,"Estádio Durival Britto, Curitiba",Draw
1950--brazil,Group 3,1950-07-02,Italy,Paraguay,2,0,"Estádio do Pacaembu, São Paulo",Italy
1950--brazil,Group 4,1950-07-02,Uruguay,Bolivia,8,0,"Estádio Independência, Belo Horizonte",Uruguay
1950--brazil,Final Round,1950-07-09,Uruguay,Spain,2,2,"Estádio do Pacaembu, São Paulo",Draw
1950--brazil,Final Round,1950-07-09,Brazil,Sweden,7,1,"Estádio do Maracanã, Rio de Janeiro",Brazil
1950--brazil,Final Round,1950-07-13,Brazil,Spain,6,1,"Estádio do Maracanã, Rio de Janeiro",Brazil
1950--brazil,Final Round,1950-07-13,Uruguay,Sweden,3,2,"Estádio do Pacaembu, São Paulo",Uruguay
1950--brazil,Final Round,1950-07-16,Sweden,Spain,3,1,"Estádio do Pacaembu, São Paulo",Sweden
1950--brazil,Final Round,1950-07-16,Uruguay,Brazil,2,1,"Estádio do Maracanã, Rio de Janeiro",Uruguay
1954--switzerland,Group 1,1954-06-16,Brazil,Mexico,5,0,"Charmilles Stadium, Geneva",Brazil
1954--switzerland,Group 1,1954-06-16,Yugoslavia,France,1,0,"Stade Olympique de la Pontaise, Lausanne",Yugoslavia
1954--switzerland,Group 1,1954-06-19,Brazil,Yugoslavia,1,1,"Stade Olympique de la Pontaise, Lausanne",Draw
1954--switzerland,Group 1,1954-06-19,France,Mexico,3,2,"Charmilles Stadium, Geneva",France
1954--switzerland,Group 2,1954-06-17,West Germany,Turkey,4,1,"Wankdorf Stadium, Bern",West Germany
1954--switzerland,Group 2,1954-06-17,Hungary,South Korea,9,0,"Hardturm Stadium, Zürich",Hungary
1954--switzerland,Group 2,1954-06-20,Hungary,West Germany,8,3,"St. Jakob Stadium, Basel",Hungary
1954--switzerland,Group 2,1954-06-20,Turkey,South Korea,7,0,"Charmilles Stadium, Geneva",Turkey
1954--switzerland,Group 2 Play-off,1954-06-23,West Germany,Turkey,7,2,"Hardturm Stadium, Zürich",West Germany
1954--switzerland,Group 3,1954-06-16,Uruguay,Czechoslovakia,2,0,"Wankdorf Stadium, Bern",Uruguay
1954--switzerland,Group 3,1954-06-16,Austria,Scotland,1,0,"Hardturm Stadium, Zürich",Austria
1954--switzerland,Group 3,1954-06-19,Austria,Czechoslovakia,5,0,"Hardturm Stadium, Zürich",Austria
1954--switzerland,Group 3,1954-06-19,Uruguay,Scotland,7,0,"St. Jakob Stadium, Basel",Uruguay
1954--switzerland,Group 4,1954-06-17,England,Belgium,4,4,"St. Jakob Stadium, Basel",Draw
1954--switzerland,Group 4,1954-06-17,Switzerland,Italy,2,1,"Stade Olympique de la Pontaise, Lausanne",Switzerland
1954--switzerland,Group 4,1954-06-20,England,Switzerland,2,0,"Wankdorf Stadium, Bern",England
1954--switzerland,Group 4,1954-06-20,Italy,Belgium,4,1,"Cornaredo Stadium, Lugano",Italy
1954--switzerland,Group 4 Play-off,1954-06-23,Switzerland,Italy,4,1,"St. Jakob Stadium, Basel",Switzerland
1954--switzerland,Quarter-finals,1954-06-26,Austria,Switzerland,7,5,"Stade Olympique de la Pontaise, Lausanne",Austria
1954--switzerland,Quarter-finals,1954-06-26,Uruguay,England,4,2,"St. Jakob Stadium, Basel",Uruguay
1954--switzerland,Quarter-finals,1954-06-27,Yugoslavia,West Germany,0,2,"Charmilles Stadium, Geneva",West Germany
1954--switzerland,Quarter-finals,1954-06-27,Brazil,Hungary,2,4,"Wankdorf Stadium, Bern",Hungary
1954--switzerland,Semi-finals,1954-06-30,West Germany,Austria,6,1,"St. Jakob Stadium, Basel",West Germany
1954--switzerland,Semi-finals,1954-06-30,Hungary,Uruguay,4,2,"Stade Olympique de la Pontaise, Lausanne",Hungary
1954--switzerland,Third-place match         ## use just Third-place  - why? why not?,1954-07-03,Uruguay,Austria,1,3,"Hardturm Stadium, Zürich",Austria
1954--switzerland,Final,1954-07-04,Hungary,West Germany,2,3,"Wankdorf Stadium, Bern",West Germany
1958--sweden,Group 1,1958-06-08,West Germany,Argentina,3,1,"Malmö Stadion, Malmö",West Germany
1958--sweden,Group 1,1958-06-08,Northern Ireland,Czechoslovakia,1,0,"Örjans Vall, Halmstad",Northern Ireland
1958--sweden,Group 1,1958-06-11,Argentina,Northern Ireland,3,1,"Örjans Vall, Halmstad",Argentina
1958--sweden,Group 1,1958-06-11,West Germany,Czechoslovakia,2,2,"Olympiastadion, Helsingborg",Draw
1958--sweden,Group 1,1958-06-15,West Germany,Northern Ireland,2,2,"Malmö Stadion, Malmö",Draw
1958--sweden,Group 1,1958-06-15,Czechoslovakia,Argentina,6,1,"Olympiastadion, Helsingborg",Czechoslovakia
1958--sweden,Group 1 Play-off,1958-06-17,Northern Ireland,Czechoslovakia,2,1,"Malmö Stadion, Malmö",Northern Ireland
1958--sweden,Group 2,1958-06-08,France,Paraguay,7,3,"Idrottsparken, Norrköping",France
1958--sweden,Group 2,1958-06-08,Yugoslavia,Scotland,1,1,"Arosvallen, Västerås",Draw
1958--sweden,Group 2,1958-06-11,Yugoslavia,France,3,2,"Arosvallen, Västerås",Yugoslavia
1958--sweden,Group 2,1958-06-11,Paraguay,Scotland,3,2,"Idrottsparken, Norrköping",Paraguay
1958--sweden,Group 2,1958-06-15,France,Scotland,2,1,"Eyravallen, Örebro",France
1958--sweden,Group 2,1958-06-15,Paraguay,Yugoslavia,3,3,"Tunavallen, Eskilstuna",Draw
1958--sweden,Group 3,1958-06-08,Sweden,Mexico,3,0,"Råsunda Stadium, Solna",Sweden
1958--sweden,Group 3,1958-06-08,Hungary,Wales,1,1,"Jernvallen, Sandviken",Draw
1958--sweden,Group 3,1958-06-11,Mexico,Wales,1,1,"Råsunda Stadium, Solna",Draw
1958--sweden,Group 3,1958-06-12,Sweden,Hungary,2,1,"Råsunda Stadium, Solna",Sweden
1958--sweden,Group 3,1958-06-15,Sweden,Wales,0,0,"Råsunda Stadium, Solna",Draw
1958--sweden,Group 3,1958-06-15,Hungary,Mexico,4,0,"Jernvallen, Sandviken",Hungary
1958--sweden,Group 3 Play-off,1958-06-17,Wales,Hungary,2,1,"Råsunda Stadium, Solna",Wales
1958--sweden,Group 4,1958-06-08,Brazil,Austria,3,0,"Rimnersvallen, Uddevalla",Brazil
1958--sweden,Group 4,1958-06-08,Soviet Union,England,2,2,"Ullevi, Gothenburg",Draw
1958--sweden,Group 4,1958-06-11,Brazil,England,0,0,"Ullevi, Gothenburg",Draw
1958--sweden,Group 4,1958-06-11,Soviet Union,Austria,2,0,"Ryavallen, Borås",Soviet Union
1958--sweden,Group 4,1958-06-15,England,Austria,2,2,"Ryavallen, Borås",Draw
1958--sweden,Group 4,1958-06-15,Brazil,Soviet Union,2,0,"Ullevi, Gothenburg",Brazil
1958--sweden,Group 4 Play-off,1958-06-17,Soviet Union,England,1,0,"Ullevi, Gothenburg",Soviet Union
1958--sweden,Quarter-finals,1958-06-19,France,Northern Ireland,4,0,"Idrottsparken, Norrköping",France
1958--sweden,Quarter-finals,1958-06-19,Sweden,Soviet Union,2,0,"Råsunda Stadium, Solna",Sweden
1958--sweden,Quarter-finals,1958-06-19,Brazil,Wales,1,0,"Ullevi, Gothenburg",Brazil
