tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner,home_elo,away_elo,home_elo_after,away_elo_after,elo_diff,home_rank,away_rank,home_rank_obj,away_rank_obj,rank_source,home_days_since_last_match,away_days_since_last_match,rank_diff,is_home_favourite,ingested_at,match_temp,match_hum,match_wind,shock_home,shock_away
1934--italy,Semi-finals,1934-06-03,Czechoslovakia,Germany,3,1,"Stadio Nazionale PNF, Rome",Czechoslovakia,,,,,,,,,,,,,,,,22.0,50.0,10.0,-4.404545,-6.143215
1934--italy,Third-place match,1934-06-07,Germany,Austria,3,2,"Stadio Giorgio Ascarelli, Naples",Germany,,,,,,,,,,,,,,,,22.0,50.0,10.0,-6.143215,0.42269897
1934--italy,Final,1934-06-10,Italy,Czechoslovakia,2,1,"Stadio Nazionale PNF, Rome",Italy,,,,,,,,,,,,,,,,22.0,50.0,10.0,-7.1554413,-4.404545
1938--france,First round,1938-06-04,Switzerland,Germany,1,1,"Parc des Princes, Paris",Draw,,,,,,,,,,,,,,,,22.0,50.0,10.0,2.3771763,-6.143215
1938--france,First round,1938-06-05,Hungary,Dutch East Indies,6,0,"Vélodrome Municipal, Reims",Hungary,,,,,,,,,,,,,,,,22.0,50.0,10.0,-4.10746,-8.115688
1938--france,First round,1938-06-05,France,Belgium,3,1,"Stade Olympique de Colombes, Paris",France,,,,,,,,,,,,,,,,22.0,50.0,10.0,-11.205688,-3.1101818
1938--france,First round,1938-06-05,Cuba,Romania,3,3,"Stade Chapou, Toulouse",Draw,,,,,,,,,,,,,,,,22.0,50.0,10.0,-12.054619,1.15691
1938--france,First round,1938-06-05,Italy,Norway,2,1,"Stade Vélodrome, Marseille",Italy,,,,,,,,,,,,,,,,22.0,50.0,10.0,-7.1554413,7.1121864
1938--france,First round,1938-06-05,Brazil,Poland,6,5,"Stade de la Meinau, Strasbourg",Brazil,,,,,,,,,,,,,,,,22.0,50.0,10.0,-12.669376,3.194765
1938--france,First round,1938-06-05,Czechoslovakia,Netherlands,3,0,"Stade municipal, Le Havre",Czechoslovakia,,,,,,,,,,,,,,,,22.0,50.0,10.0,-4.404545,-0.59137535
1938--france,"First round, Replays",1938-06-09,Cuba,Romania,2,1,"Stade Chapou, Toulouse",Cuba,,,,,,,,,,,,,,,,22.0,50.0,10.0,-12.054619,1.15691
1938--france,"First round, Replays",1938-06-09,Germany,Switzerland,2,4,"Parc des Princes, Paris",Switzerland,,,,,,,,,,,,,,,,22.0,50.0,10.0,-6.143215,2.3771763
1938--france,Quarter-finals,1938-06-12,Brazil,Czechoslovakia,1,1,"Parc Lescure, Bordeaux",Draw,,,,,,,,,,,,,,,,22.0,50.0,10.0,-12.669376,-4.404545
1938--france,Quarter-finals,1938-06-12,Switzerland,Hungary,0,2,"Stade Victor Boucquey, Lille",Hungary,,,,,,,,,,,,,,,,22.0,50.0,10.0,2.3771763,-4.10746
1938--france,Quarter-finals,1938-06-12,Sweden,Cuba,8,0,"Stade du Fort Carré, Antibes",Sweden,,,,,,,,,,,,,,,,22.0,50.0,10.0,2.0231857,-12.054619
1938--france,Quarter-finals,1938-06-12,France,Italy,1,3,"Stade Olympique de Colombes, Paris",Italy,,,,,,,,,,,,,,,,22.0,50.0,10.0,-11.205688,-7.1554413
1938--france,"Quarter-finals, Replays",1938-06-14,Brazil,Czechoslovakia,2,1,"Parc Lescure, Bordeaux",Brazil,,,,,,,,,,,,,,,,22.0,50.0,10.0,-12.669376,-4.404545
1938--france,Semi-finals,1938-06-16,Hungary,Sweden,5,1,"Parc des Princes, Paris",Hungary,,,,,,,,,,,,,,,,22.0,50.0,10.0,-4.10746,2.0231857
1938--france,Semi-finals,1938-06-16,Italy,Brazil,2,1,"Stade Vélodrome, Marseille",Italy,,,,,,,,,,,,,,,,22.0,50.0,10.0,-7.1554413,-12.669376
1938--france,Match for third place,1938-06-19,Sweden,Brazil,2,4,"Parc Lescure, Bordeaux",Brazil,,,,,,,,,,,,,,,,22.0,50.0,10.0,2.0231857,-12.669376
1938--france,Final,1938-06-19,Hungary,Italy,2,4,"Stade Olympique de Colombes, Paris",Italy,,,,,,,,,,,,,,,,22.0,50.0,10.0,-4.10746,-7.1554413
1950--brazil,Group 1,1950-06-24,Brazil,Mexico,4,0,"Estádio do Maracanã, Rio de Janeiro",Brazil,,,,,,,,,,,,,,,,31.193225860595703,90.97380828857422,11.18320083618164,-3.4761505,7.87689
1950--brazil,Group 1,1950-06-25,Yugoslavia,Switzerland,3,0,"Estádio Independência, Belo Horizonte",Yugoslavia,,,,,,,,,,,,,,,,32.65027618408203,88.922119140625,20.929594039916992,34.856815,13.027452
1950--brazil,Group 1,1950-06-28,Brazil,Switzerland,2,2,"Estádio do Pacaembu, São Paulo",Draw,,,,,,,,,,,,,,,,20.703445434570312,97.03578186035156,10.028438568115234,-13.965931,1.0806217
1950--brazil,Group 1,1950-06-28,Yugoslavia,Mexico,4,1,"Estádio dos Eucaliptos, Porto Alegre",Yugoslavia,,,,,,,,,,,,,,,,22.274120330810547,94.14737701416016,8.699792861938477,24.48066,-1.0422153
1950--brazil,Group 1,1950-07-01,Brazil,Yugoslavia,2,0,"Estádio do Maracanã, Rio de Janeiro",Brazil,,,,,,,,,,,,,,,,28.1927490234375,96.04112243652344,10.390226364135742,-6.4766273,30.399288
1950--brazil,Group 1,1950-07-02,Switzerland,Mexico,2,1,"Estádio dos Eucaliptos, Porto Alegre",Switzerland,,,,,,,,,,,,,,,,27.708396911621094,95.11167907714844,8.161764144897461,8.085573,4.392061
1950--brazil,Group 2,1950-06-25,England,Chile,2,0,"Estádio do Maracanã, Rio de Janeiro",England,,,,,,,,,,,,,,,,24.356319427490234,96.9388656616211,12.727921485900879,1.0048866,12.989787
1950--brazil,Group 2,1950-06-25,Spain,United States,3,1,"Estádio Durival de Britto, Curitiba",Spain,,,,,,,,,,,,,,,,14.180381774902344,94.74494171142578,11.090103149414062,-22.902489,-14.321854
1950--brazil,Group 2,1950-06-29,Spain,Chile,2,0,"Estádio do Maracanã, Rio de Janeiro",Spain,,,,,,,,,,,,,,,,25.736783981323242,97.13679504394531,10.739832878112793,-11.3460865,14.370252
1950--brazil,Group 2,1950-06-29,United States,England,1,0,"Estádio Independência, Belo Horizonte",United States,,,,,,,,,,,,,,,,32.223846435546875,87.57402801513672,21.382905960083008,3.721611,8.872414
1950--brazil,Group 2,1950-07-02,Spain,England,1,0,"Estádio do Maracanã, Rio de Janeiro",Spain,,,,,,,,,,,,,,,,25.24802589416504,98.15538024902344,9.359999656677246,-11.834845,1.8965931
1950--brazil,Group 2,1950-07-02,Chile,United States,5,2,"Estádio Ilha do Retiro, Recife",Chile,,,,,,,,,,,,,,,,30.936370849609375,88.32846069335938,13.183079719543457,19.56984,2.4341354
1950--brazil,Group 3,1950-06-25,Sweden,Italy,3,2,"Estádio do Pacaembu, São Paulo",Sweden,,,,,,,,,,,,,,,,17.60342788696289,99.35643005371094,15.986593246459961,-2.3733864,-11.552013
1950--brazil,Group 3,1950-06-29,Sweden,Paraguay,2,2,"Estádio Durival Britto, Curitiba",Draw,,,,,,,,,,,,,,,,15.084684371948242,87.94769287109375,21.40713882446289,-4.89213,-10.700663
1950--brazil,Group 3,1950-07-02,Italy,Paraguay,2,0,"Estádio do Pacaembu, São Paulo",Italy,,,,,,,,,,,,,,,,17.977819442749023,94.1470718383789,11.165804862976074,-11.177622,-7.8075275
1950--brazil,Group 4,1950-07-02,Uruguay,Bolivia,8,0,"Estádio Independência, Belo Horizonte",Uruguay,,,,,,,,,,,,,,,,31.899585723876953,93.2344970703125,16.93531036376953,15.304827,4.079586
1950--brazil,Final Round,1950-07-09,Uruguay,Spain,2,2,"Estádio do Pacaembu, São Paulo",Draw,,,,,,,,,,,,,,,,20.224485397338867,99.01598358154297,16.055355072021484,3.6297264,-16.858385
1950--brazil,Final Round,1950-07-09,Brazil,Sweden,7,1,"Estádio do Maracanã, Rio de Janeiro",Brazil,,,,,,,,,,,,,,,,27.23980712890625,95.35501098632812,10.182336807250977,-7.4295692,7.262993
1950--brazil,Final Round,1950-07-13,Brazil,Spain,6,1,"Estádio do Maracanã, Rio de Janeiro",Brazil,,,,,,,,,,,,,,,,23.313966751098633,93.78236389160156,8.91318130493164,-11.35541,-13.768904
1950--brazil,Final Round,1950-07-13,Uruguay,Sweden,3,2,"Estádio do Pacaembu, São Paulo",Uruguay,,,,,,,,,,,,,,,,21.375099182128906,99.66264343261719,14.264361381530762,4.78034,1.3982849
1950--brazil,Final Round,1950-07-16,Sweden,Spain,3,1,"Estádio do Pacaembu, São Paulo",Sweden,,,,,,,,,,,,,,,,22.192800521850586,94.0315933227539,9.164103507995605,2.2159863,-14.89007
1950--brazil,Final Round,1950-07-16,Uruguay,Brazil,2,1,"Estádio do Maracanã, Rio de Janeiro",Uruguay,,,,,,,,,,,,,,,,26.249778747558594,95.57583618164062,7.993297576904297,9.65502,-8.419598
1954--switzerland,Group 1,1954-06-16,Brazil,Mexico,5,0,"Charmilles Stadium, Geneva",Brazil,,,,,,,,,,,,,,,,16.26003074645996,92.09427642822266,9.114471435546875,-18.409346,-7.056305
1954--switzerland,Group 1,1954-06-16,Yugoslavia,France,1,0,"Stade Olympique de la Pontaise, Lausanne",Yugoslavia,,,,,,,,,,,,,,,,15.74384880065918,87.72904968261719,5.052840709686279,17.950388,-17.46184
1954--switzerland,Group 1,1954-06-19,Brazil,Yugoslavia,1,1,"Stade Olympique de la Pontaise, Lausanne",Draw,,,,,,,,,,,,,,,,24.382612228393555,84.00054931640625,7.2894439697265625,-10.286764,26.589151
1954--switzerland,Group 1,1954-06-19,France,Mexico,3,2,"Charmilles Stadium, Geneva",France,,,,,,,,,,,,,,,,26.95884132385254,91.13237762451172,6.849466800689697,-6.246847,3.6425056
1954--switzerland,Group 2,1954-06-17,West Germany,Turkey,4,1,"Wankdorf Stadium, Bern",West Germany,,,,,,,,,,,,,,,,18.595932006835938,94.19718933105469,8.66994857788086,-9.547283,-3.750126
1954--switzerland,Group 2,1954-06-17,Hungary,South Korea,9,0,"Hardturm Stadium, Zürich",Hungary,,,,,,,,,,,,,,,,21.1488037109375,94.82673645019531,6.924737930297852,-4.9586563,-0.27090073
1954--switzerland,Group 2,1954-06-20,Hungary,West Germany,8,3,"St. Jakob Stadium, Basel",Hungary,,,,,,,,,,,,,,,,30.505855560302734,93.08902740478516,6.162207126617432,4.3983955,2.3626404
1954--switzerland,Group 2,1954-06-20,Turkey,South Korea,7,0,"Charmilles Stadium, Geneva",Turkey,,,,,,,,,,,,,,,,29.348190307617188,85.9972915649414,7.4215898513793945,7.0021324,7.928486
1954--switzerland,Group 2 Play-off,1954-06-23,West Germany,Turkey,7,2,"Hardturm Stadium, Zürich",West Germany,,,,,,,,,,,,,,,,23.599262237548828,97.76718139648438,8.891343116760254,-4.543953,1.2532043
1954--switzerland,Group 3,1954-06-16,Uruguay,Czechoslovakia,2,0,"Wankdorf Stadium, Bern",Uruguay,,,,,,,,,,,,,,,,14.750896453857422,96.3939208984375,5.483356475830078,-1.8438625,-11.653648
1954--switzerland,Group 3,1954-06-16,Austria,Scotland,1,0,"Hardturm Stadium, Zürich",Austria,,,,,,,,,,,,,,,,16.75725746154785,93.93219757080078,6.952754497528076,-4.8200436,5.640827
1954--switzerland,Group 3,1954-06-19,Austria,Czechoslovakia,5,0,"Hardturm Stadium, Zürich",Austria,,,,,,,,,,,,,,,,26.172260284423828,87.45214080810547,7.199999809265137,4.5949593,-0.23228455
1954--switzerland,Group 3,1954-06-19,Uruguay,Scotland,7,0,"St. Jakob Stadium, Basel",Uruguay,,,,,,,,,,,,,,,,27.639108657836914,94.86083984375,5.154415607452393,11.04435,16.522678
1954--switzerland,Group 4,1954-06-17,England,Belgium,4,4,"St. Jakob Stadium, Basel",Draw,,,,,,,,,,,,,,,,21.59005355834961,97.06627655029297,9.064568519592285,-1.7613792,-3.5201283
1954--switzerland,Group 4,1954-06-17,Switzerland,Italy,2,1,"Stade Olympique de la Pontaise, Lausanne",Switzerland,,,,,,,,,,,,,,,,18.271305084228516,91.18409729003906,11.525623321533203,-1.3515186,-10.884136
1954--switzerland,Group 4,1954-06-20,England,Switzerland,2,0,"Wankdorf Stadium, Bern",England,,,,,,,,,,,,,,,,27.327295303344727,94.56167602539062,5.634891033172607,3.9758625,7.7044716
1954--switzerland,Group 4,1954-06-20,Italy,Belgium,4,1,"Cornaredo Stadium, Lugano",Italy,,,,,,,,,,,,,,,,31.114723205566406,94.62870788574219,7.628262996673584,1.9592819,6.0045414
1954--switzerland,Group 4 Play-off,1954-06-23,Switzerland,Italy,4,1,"St. Jakob Stadium, Basel",Switzerland,,,,,,,,,,,,,,,,23.638450622558594,97.18951416015625,10.63676643371582,4.015627,-5.5169907
1954--switzerland,Quarter-finals,1954-06-26,Austria,Switzerland,7,5,"Stade Olympique de la Pontaise, Lausanne",Austria,,,,,,,,,,,,,,,,22.004785537719727,81.07931518554688,13.661038398742676,0.4274845,2.3819618
1954--switzerland,Quarter-finals,1954-06-26,Uruguay,England,4,2,"St. Jakob Stadium, Basel",Uruguay,,,,,,,,,,,,,,,,23.596912384033203,89.19014739990234,17.227418899536133,7.0021534,0.24547958
1954--switzerland,Quarter-finals,1954-06-27,Yugoslavia,West Germany,0,2,"Charmilles Stadium, Geneva",West Germany,,,,,,,,,,,,,,,,20.11150360107422,94.90950775146484,14.154914855957031,22.318043,-8.031712
1954--switzerland,Quarter-finals,1954-06-27,Brazil,Hungary,2,4,"Wankdorf Stadium, Bern",Hungary,,,,,,,,,,,,,,,,18.008686065673828,93.95310974121094,16.750640869140625,-16.66069,-8.098774
1954--switzerland,Semi-finals,1954-06-30,West Germany,Austria,6,1,"St. Jakob Stadium, Basel",West Germany,,,,,,,,,,,,,,,,20.07605743408203,90.67191314697266,7.208993911743164,-8.067158,-1.5012436
1954--switzerland,Semi-finals,1954-06-30,Hungary,Uruguay,4,2,"Stade Olympique de la Pontaise, Lausanne",Hungary,,,,,,,,,,,,,,,,17.23011016845703,92.9280014038086,5.483356475830078,-8.87735,0.6353512
1954--switzerland,Third-place match         ## use just Third-place  - why? why not?,1954-07-03,Uruguay,Austria,1,3,"Hardturm Stadium, Zürich",Austria,,,,,,,,,,,,,,,,17.520204544067383,91.9610824584961,10.144082069396973,0.92544556,-4.0570965
1954--switzerland,Final,1954-07-04,Hungary,West Germany,2,3,"Wankdorf Stadium, Bern",West Germany,,,,,,,,,,,,,,,,18.309436798095703,92.3387222290039,16.311613082885742,-7.798023,-9.833778
1958--sweden,Group 1,1958-06-08,West Germany,Argentina,3,1,"Malmö Stadion, Malmö",West Germany,,,,,,,,,,,,,,,,16.62118148803711,93.59835815429688,16.793140411376953,-11.522034,4.3763103
1958--sweden,Group 1,1958-06-08,Northern Ireland,Czechoslovakia,1,0,"Örjans Vall, Halmstad",Northern Ireland,,,,,,,,,,,,,,,,15.667476654052734,96.11720275878906,11.792404174804688,-2.8468971,-10.737068
1958--sweden,Group 1,1958-06-11,Argentina,Northern Ireland,3,1,"Örjans Vall, Halmstad",Argentina,,,,,,,,,,,,,,,,12.37498664855957,85.15418243408203,10.805997848510742,0.13011551,-6.139387
1958--sweden,Group 1,1958-06-11,West Germany,Czechoslovakia,2,2,"Olympiastadion, Helsingborg",Draw,,,,,,,,,,,,,,,,10.882658004760742,92.18988800048828,11.96695327758789,-17.260557,-15.521887
1958--sweden,Group 1,1958-06-15,West Germany,Northern Ireland,2,2,"Malmö Stadion, Malmö",Draw,,,,,,,,,,,,,,,,16.231781005859375,87.69596862792969,11.901798248291016,-11.911434,-2.2825928
